Subject,Predicate,Object,Section,Organism,PMCID
(+)-Norfenfluramine,reduces,LocomotorHyperactivity,Results,Zebrafish,8302504
(-)-Norfenfluramine,showsLimitedEffectOn,SeizureActivity,Results,Zebrafish,8302504
Fenfluramine,hasTimeDependentUptakeIn,ZebrafishHead,Results,Zebrafish,8302504
Norfenfluramine,hasLowerUptakeThan,Fenfluramine,Results,Zebrafish,8302504
Lipophilicity,influences,CompoundUptake,Results,Zebrafish,8302504
Fenfluramine,modulates,SerotoninTransporter,Discussion,Zebrafish,8302504
Fenfluramine,activates,5HT2CReceptor,Discussion,Zebrafish,8302504
Fenfluramine,antagonizes,Sigma1Receptor,Discussion,Zebrafish,8302504
SerotoninDeficiency,contributesTo,Epileptogenesis,Discussion,Zebrafish,8302504
Fenfluramine,increases,SerotonergicTone,Discussion,Zebrafish,8302504
(+)-Fenfluramine,contributesTo,ClinicalEfficacy,Discussion,Zebrafish,8302504
(-)-Fenfluramine,contributesTo,ClinicalEfficacy,Discussion,Zebrafish,8302504
(+)-Norfenfluramine,contributesTo,ClinicalEfficacy,Discussion,Zebrafish,8302504
DravetSyndrome,isTypeOf,DevelopmentalAndEpilepticEncephalopathy,Introduction,Human,8456817
DravetSyndrome,hasHighRiskOf,SUDEP,Introduction,Human,8456817
DravetSyndrome,hasOnsetIn,FirstYearOfLife,Introduction,Human,8456817
DravetSyndrome,isAssociatedWith,SCN1AMutation,Introduction,Human,8456817
DravetSyndrome,presentsWith,MultipleSeizureTypes,Introduction,Human,8456817
Cannabidiol,isApprovedFor,DravetSyndrome,Introduction,Human,8456817
Cannabidiol,isUsedAs,AddOnTherapy,Introduction,Human,8456817
PriorTrials,didNotEvaluate,TimeToOnsetOfEffect,Introduction,Human,8456817
GWPCARE1,isTypeOf,RandomizedControlledTrial,Methods,Human,8456817
GWPCARE2,isTypeOf,RandomizedControlledTrial,Methods,Human,8456817
Study,isPostHocAnalysisOf,GWPCARE1,Methods,Human,8456817
Study,isPostHocAnalysisOf,GWPCARE2,Methods,Human,8456817
Study,includes,PlaceboGroup,Methods,Human,8456817
Study,includes,Cannabidiol10mgKgDayGroup,Methods,Human,8456817
Study,includes,Cannabidiol20mgKgDayGroup,Methods,Human,8456817
Cannabidiol,isDerivedFrom,CannabisSativa,Methods,Human,8456817
Cannabidiol,isAdministeredOrally,OralSolution,Methods,Human,8456817
Cannabidiol,isTitratedFrom,2.5mgKgDay,Methods,Human,8456817
Cannabidiol,reachesDose,10mgKgDayByDay7,Methods,Human,8456817
Cannabidiol,reachesDose,20mgKgDayByDay11,Methods,Human,8456817
SeizureFrequency,isRecordedBy,CaregiverDiary,Methods,Human,8456817
ConvulsiveSeizures,include,TonicClonicSeizures,Methods,Human,8456817
ConvulsiveSeizures,include,TonicSeizures,Methods,Human,8456817
ConvulsiveSeizures,include,ClonicSeizures,Methods,Human,8456817
ConvulsiveSeizures,include,AtonicSeizures,Methods,Human,8456817
StatisticalAnalysis,uses,NegativeBinomialRegression,Methods,Human,8456817
Study,enrolls,ThreeHundredNineteenPatients,Results,Human,8456817
CannabidiolGroup,includes,OneHundredNinetyFourPatients,Results,Human,8456817
PlaceboGroup,includes,OneHundredTwentyFourPatients,Results,Human,8456817
Patients,haveMeanAge,NinePointFiveYears,Results,Human,8456817
Patients,useConcomitantAED,Valproate,Results,Human,8456817
Patients,useConcomitantAED,Clobazam,Results,Human,8456817
Cannabidiol10mgKgDay,reduces,ConvulsiveSeizureFrequency,Results,Human,8456817
Cannabidiol20mgKgDay,reduces,ConvulsiveSeizureFrequency,Results,Human,8456817
Cannabidiol,reduces,TotalSeizureFrequency,Results,Human,8456817
Cannabidiol20mgKgDay,showsEffectBy,Day12,Results,Human,8456817
Cannabidiol10mgKgDay,showsEffectBy,Day13,Results,Human,8456817
Cannabidiol,maintainsEffectDuring,MaintenancePeriod,Results,Human,8456817
Cannabidiol,increases,FiftyPercentResponderRate,Results,Human,8456817
Cannabidiol,increases,SeventyFivePercentResponderRate,Results,Human,8456817
AdverseEvents,occurIn,CannabidiolGroup,Results,Human,8456817
Somnolence,occursMoreWith,ClobazamCoAdministration,Results,Human,8456817
DecreasedAppetite,occursIn,CannabidiolGroup,Results,Human,8456817
Diarrhea,occursIn,CannabidiolGroup,Results,Human,8456817
TransaminaseElevation,occursWith,ValproateCoAdministration,Results,Human,8456817
ALTASTElevation,resolvesAfter,DoseAdjustmentOrDiscontinuation,Results,Human,8456817
Cannabidiol,hasEarlyOnsetOf,AntiseizureEffect,Discussion,Human,8456817
Cannabidiol,showsEfficacyWithin,TwoWeeks,Discussion,Human,8456817
Cannabidiol,hasSustained,SeizureReduction,Discussion,Human,8456817
AdverseEvents,occurEarlyDuring,TitrationPeriod,Discussion,Human,8456817
Somnolence,isRelatedTo,CannabidiolClobazamInteraction,Discussion,Human,8456817
Monitoring,isRecommendedFor,LiverEnzymes,Discussion,Human,8456817
Study,isLimitedBy,PostHocDesign,Discussion,Human,8456817
Study,supports,EarlyCannabidiolUseInDravetSyndrome,Discussion,Human,8456817
DravetSyndrome,isA,DevelopmentalEpilepticEncephalopathy,Introduction,Human,10467005
LennoxGastautSyndrome,isA,DevelopmentalEpilepticEncephalopathy,Introduction,Human,10467005
DravetSyndrome,hasAgeOfOnset,EarlyChildhood,Introduction,Human,10467005
LennoxGastautSyndrome,hasAgeOfOnset,EarlyChildhood,Introduction,Human,10467005
DravetSyndrome,hasSeizureType,MultipleSeizureTypes,Introduction,Human,10467005
LennoxGastautSyndrome,hasSeizureType,MultipleSeizureTypes,Introduction,Human,10467005
DravetSyndrome,hasTreatmentResistance,High,Introduction,Human,10467005
LennoxGastautSyndrome,hasTreatmentResistance,High,Introduction,Human,10467005
DravetSyndrome,impacts,HealthRelatedQualityOfLife,Introduction,Human,10467005
LennoxGastautSyndrome,impacts,HealthRelatedQualityOfLife,Introduction,Human,10467005
HealthRelatedQualityOfLife,affectedBy,CognitiveImpairment,Introduction,Human,10467005
HealthRelatedQualityOfLife,affectedBy,MobilityImpairment,Introduction,Human,10467005
HealthRelatedQualityOfLife,affectedBy,EatingDifficulties,Introduction,Human,10467005
Cannabidiol,hasEfficacyFor,SeizureControl,Introduction,Human,10467005
Cannabidiol,hasAcceptableSafetyProfile,TRUE,Introduction,Human,10467005
Cannabidiol,hasLimitedEvidenceFor,BeyondSeizureOutcomes,Introduction,Human,10467005
Study,hasDesign,QualitativeInterviewStudy,Methods,Human,10467005
QualitativeInterviewStudy,uses,SemiStructuredInterview,Methods,Human,10467005
SemiStructuredInterview,targets,Caregiver,Methods,Human,10467005
Caregiver,caresFor,PatientWithDravetSyndrome,Methods,Human,10467005
Caregiver,caresFor,PatientWithLennoxGastautSyndrome,Methods,Human,10467005
Cannabidiol,administeredAs,HighlyPurifiedPlantDerivedCBD,Methods,Human,10467005
Cannabidiol,hasBrandName,Epidiolex,Methods,Human,10467005
Cannabidiol,hasBrandName,Epidyolex,Methods,Human,10467005
Cannabidiol,hasDosageForm,OralSolution,Methods,Human,10467005
OralSolution,hasConcentration,100mgPerML,Methods,Human,10467005
Study,hasRecruitmentCountry,UnitedStates,Methods,Human,10467005
Study,hasRecruitmentCountry,UnitedKingdom,Methods,Human,10467005
Study,hasRecruitmentCountry,Germany,Methods,Human,10467005
Study,usesAnalysisMethod,ThematicAnalysis,Methods,Human,10467005
ThematicAnalysis,implementedWith,MAXQDA,Methods,Human,10467005
Study,monitors,DataSaturation,Methods,Human,10467005
DravetSyndrome,hasSeizureType,TonicClonicSeizure,Results,Human,10467005
LennoxGastautSyndrome,hasSeizureType,TonicClonicSeizure,Results,Human,10467005
DravetSyndrome,hasSeizureType,ClonicSeizure,Results,Human,10467005
LennoxGastautSyndrome,hasSeizureType,ClonicSeizure,Results,Human,10467005
DravetSyndrome,hasSeizureType,TonicSeizure,Results,Human,10467005
LennoxGastautSyndrome,hasSeizureType,TonicSeizure,Results,Human,10467005
DravetSyndrome,hasSeizureType,AtonicSeizure,Results,Human,10467005
LennoxGastautSyndrome,hasSeizureType,AtonicSeizure,Results,Human,10467005
DravetSyndrome,hasSeizureType,AbsenceSeizure,Results,Human,10467005
LennoxGastautSyndrome,hasSeizureType,AbsenceSeizure,Results,Human,10467005
DravetSyndrome,hasSeizureType,MyoclonicSeizure,Results,Human,10467005
LennoxGastautSyndrome,hasSeizureType,MyoclonicSeizure,Results,Human,10467005
DravetSyndrome,hasSeizureType,FocalSeizureWithImpairedAwareness,Results,Human,10467005
LennoxGastautSyndrome,hasSeizureType,FocalSeizureWithImpairedAwareness,Results,Human,10467005
Seizure,hasCharacteristic,Unpredictable,Results,Human,10467005
Seizure,hasFrequencyRange,ZeroToFiftyPerDay,Results,Human,10467005
DravetSyndrome,hasCognitiveImpairment,Present,Results,Human,10467005
LennoxGastautSyndrome,hasCognitiveImpairment,Present,Results,Human,10467005
CognitiveFunction,includes,AttentionSpan,Results,Human,10467005
CognitiveFunction,includes,Memory,Results,Human,10467005
Communication,rangesFrom,NoSpeech,Results,Human,10467005
Communication,rangesFrom,FullSentences,Results,Human,10467005
Mobility,rangesFrom,IndependentWalking,Results,Human,10467005
Mobility,rangesFrom,WheelchairDependence,Results,Human,10467005
Behavior,includes,Aggression,Results,Human,10467005
Behavior,includes,Hyperactivity,Results,Human,10467005
Behavior,associatedWith,AutismSpectrumDisorder,Results,Human,10467005
Behavior,associatedWith,AttentionDeficitHyperactivityDisorder,Results,Human,10467005
Sleep,includes,Insomnia,Results,Human,10467005
Pain,includes,Headache,Results,Human,10467005
Appetite,includes,ReducedAppetite,Results,Human,10467005
Feeding,includes,FeedingTubeUse,Results,Human,10467005
Cannabidiol,reduces,SeizureFrequency,Results,Human,10467005
Cannabidiol,reduces,SeizureSeverity,Results,Human,10467005
Cannabidiol,reduces,SeizureDuration,Results,Human,10467005
Cannabidiol,improves,CognitiveFunction,Results,Human,10467005
Cannabidiol,improves,AttentionSpan,Results,Human,10467005
Cannabidiol,improves,LearningAbility,Results,Human,10467005
Cannabidiol,improves,Communication,Results,Human,10467005
Cannabidiol,improves,MotorFunction,Results,Human,10467005
Cannabidiol,improves,BehavioralCalmness,Results,Human,10467005
Cannabidiol,improves,SleepRegularity,Results,Human,10467005
Cannabidiol,worsens,GastrointestinalSymptoms,Results,Human,10467005
Cannabidiol,causes,Diarrhea,Results,Human,10467005
Cannabidiol,causes,Somnolence,Results,Human,10467005
Cannabidiol,causes,ReducedAppetite,Results,Human,10467005
QualitativeStudy,demonstrates,BeyondSeizureBenefits,Discussion,Human,10467005
Cannabidiol,hasEffectBeyond,SeizureControl,Discussion,Human,10467005
CognitiveImprovement,leadsTo,ImprovedCommunication,Discussion,Human,10467005
ReducedSeizureFrequency,leadsTo,ReducedHospitalization,Discussion,Human,10467005
ReducedSeizureFrequency,leadsTo,ImprovedFamilyLife,Discussion,Human,10467005
Caregiver,experiences,ReducedAnxiety,Discussion,Human,10467005
Caregiver,experiences,ImprovedEmotionalWellBeing,Discussion,Human,10467005
Study,supports,PatientCenteredOutcomeResearch,Discussion,Human,10467005
ConceptualModel,supports,OutcomeMeasureDevelopment,Discussion,Human,10467005
DravetSyndrome,isA,DevelopmentalAndEpilepticEncephalopathy,Introduction,Human,7052786
DravetSyndrome,isA,RareEpilepsy,Introduction,Human,7052786
DravetSyndrome,hasGeneticCause,SCN1AMutation,Introduction,Human,7052786
SCN1AMutation,affects,SodiumChannelAlphaSubunit1,Introduction,Human,7052786
DravetSyndrome,hasEstimatedIncidence,OneInFifteenThousandFiveHundred,Introduction,Human,7052786
DravetSyndrome,hasAgeOfOnset,BeforeFifteenMonths,Introduction,Human,7052786
DravetSyndrome,initialSeizureType,FebrileStatusEpilepticus,Introduction,Human,7052786
DravetSyndrome,hasSeizureTrigger,Fever,Introduction,Human,7052786
DravetSyndrome,hasSeizureType,HemiclonicSeizure,Introduction,Human,7052786
DravetSyndrome,hasSeizureType,GeneralizedTonicClonicSeizure,Introduction,Human,7052786
DravetSyndrome,hasSeizureType,FocalSeizureWithImpairedAwareness,Introduction,Human,7052786
DravetSyndrome,hasSeizureType,MyoclonicSeizure,Introduction,Human,7052786
DravetSyndrome,hasSeizureType,AbsenceSeizure,Introduction,Human,7052786
DravetSyndrome,hasSeizureType,AtonicSeizure,Introduction,Human,7052786
DravetSyndrome,associatedWith,DevelopmentalRegression,Introduction,Human,7052786
DravetSyndrome,associatedWith,IntellectualDisability,Introduction,Human,7052786
DravetSyndrome,associatedWith,IncreasedMortality,Introduction,Human,7052786
DravetSyndrome,associatedWith,SUDEP,Introduction,Human,7052786
PoorSeizureControl,associatedWith,LowerQualityOfLife,Introduction,Human,7052786
DravetSyndrome,hasTreatmentResistance,High,Introduction,Human,7052786
Cannabidiol,isApprovedFor,DravetSyndrome,Introduction,Human,7052786
Cannabidiol,hasBrandName,Epidiolex,Introduction,Human,7052786
Cannabidiol,hasBrandName,Epidyolex,Introduction,Human,7052786
Cannabidiol,hasPreviouslyStudiedDose,TwentyMgPerKgPerDay,Introduction,Human,7052786
TenMgPerKgPerDayCBD,lacksPriorEvidenceIn,DravetSyndrome,Introduction,Human,7052786
Study,hasDesign,RandomizedDoubleBlindPlaceboControlledTrial,Methods,Human,7052786
Study,hasName,GWPCARE2,Methods,Human,7052786
Study,hasRecruitmentPeriod,April2015ToNovember2017,Methods,Human,7052786
Study,hasFollowUpCompletionDate,April2018,Methods,Human,7052786
Study,conductedAt,MulticenterInternational,Methods,Human,7052786
Study,hasClinicalCenters,ThirtyEight,Methods,Human,7052786
Study,hasCountries,UnitedStates,Methods,Human,7052786
Study,hasCountries,Spain,Methods,Human,7052786
Study,hasCountries,Poland,Methods,Human,7052786
Study,hasCountries,Netherlands,Methods,Human,7052786
Study,hasCountries,Australia,Methods,Human,7052786
Study,hasCountries,Israel,Methods,Human,7052786
Participant,hasAgeRange,TwoToEighteenYears,Methods,Human,7052786
Participant,hasConfirmedDiagnosis,DravetSyndrome,Methods,Human,7052786
Participant,hasBaselineConvulsiveSeizures,AtLeastFourPerFourWeeks,Methods,Human,7052786
Participant,receives,AntiepilepticDrug,Methods,Human,7052786
Study,hasBaselinePeriod,FourWeeks,Methods,Human,7052786
Study,hasTreatmentPeriod,FourteenWeeks,Methods,Human,7052786
Study,hasTitrationPeriod,TwoWeeks,Methods,Human,7052786
Study,hasMaintenancePeriod,TwelveWeeks,Methods,Human,7052786
Study,hasSafetyFollowUp,FourWeeks,Methods,Human,7052786
Study,usesRandomizationRatio,TwoTwoOneOne,Methods,Human,7052786
Study,usesStratificationFactor,AgeGroup,Methods,Human,7052786
Study,usesBlinding,Participants,Methods,Human,7052786
Study,usesBlinding,Caregivers,Methods,Human,7052786
Study,usesBlinding,Investigators,Methods,Human,7052786
Study,usesBlinding,OutcomeAssessors,Methods,Human,7052786
Cannabidiol,administeredAs,OralSolution,Methods,Human,7052786
Cannabidiol,hasConcentration,OneHundredMgPerML,Methods,Human,7052786
CBD10Group,receivesDose,TenMgPerKgPerDay,Methods,Human,7052786
CBD20Group,receivesDose,TwentyMgPerKgPerDay,Methods,Human,7052786
PlaceboGroup,receives,MatchedPlacebo,Methods,Human,7052786
Study,usesOutcomeMeasure,ConvulsiveSeizureFrequency,Methods,Human,7052786
Study,usesOutcomeMeasure,TotalSeizureFrequency,Methods,Human,7052786
Study,usesOutcomeMeasure,CaregiverGlobalImpressionOfChange,Methods,Human,7052786
Study,usesOutcomeMeasure,QualityOfLifeInChildhoodEpilepsy,Methods,Human,7052786
Study,usesOutcomeMeasure,VinelandAdaptiveBehaviorScales,Methods,Human,7052786
ITTAnalysisSet,hasParticipantCount,OneHundredNinetyEight,Results,Human,7052786
ITTAnalysisSet,hasMeanAge,NinePointThreeYears,Results,Human,7052786
ITTAnalysisSet,hasFemalePercentage,FiftyTwoPointFivePercent,Results,Human,7052786
Participants,mostCommonAED,Valproate,Results,Human,7052786
Participants,mostCommonAED,Clobazam,Results,Human,7052786
Participants,usesKetogenicDiet,EightPointSixPercent,Results,Human,7052786
Participants,usesVagusNerveStimulation,ThirteenPointSixPercent,Results,Human,7052786
BaselineSeizureType,mostCommon,GeneralizedTonicClonicSeizure,Results,Human,7052786
BaselineConvulsiveSeizureFrequency,hasMedian,TwelvePerFourWeeks,Results,Human,7052786
CBD10Group,reducesConvulsiveSeizureFrequencyBy,FortyEightPointSevenPercent,Results,Human,7052786
CBD20Group,reducesConvulsiveSeizureFrequencyBy,FortyFivePointSevenPercent,Results,Human,7052786
PlaceboGroup,reducesConvulsiveSeizureFrequencyBy,TwentySixPointNinePercent,Results,Human,7052786
CBD10Group,hasPlaceboAdjustedReduction,TwentyNinePointEightPercent,Results,Human,7052786
CBD20Group,hasPlaceboAdjustedReduction,TwentyFivePointSevenPercent,Results,Human,7052786
CBD10Group,hasStatisticalSignificance,PValueZeroPointZeroOne,Results,Human,7052786
CBD20Group,hasStatisticalSignificance,PValueZeroPointZeroThree,Results,Human,7052786
CBD10Group,achievesResponderRateFiftyPercent,FortyThreePointNinePercent,Results,Human,7052786
CBD20Group,achievesResponderRateFiftyPercent,FortyNinePointThreePercent,Results,Human,7052786
PlaceboGroup,achievesResponderRateFiftyPercent,TwentySixPointTwoPercent,Results,Human,7052786
CBD10Group,achievesResponderRateSeventyFivePercent,ThirtyPointThreePercent,Results,Human,7052786
CBD20Group,achievesResponderRateSeventyFivePercent,SeventeenPointNinePercent,Results,Human,7052786
CBD10Group,achievesSeizureFreedom,TwoParticipants,Results,Human,7052786
CBD20Group,achievesSeizureFreedom,ThreeParticipants,Results,Human,7052786
Cannabidiol,associatedWith,DecreasedAppetite,Results,Human,7052786
Cannabidiol,associatedWith,Diarrhea,Results,Human,7052786
Cannabidiol,associatedWith,Somnolence,Results,Human,7052786
Cannabidiol,associatedWith,Pyrexia,Results,Human,7052786
Cannabidiol,associatedWith,Fatigue,Results,Human,7052786
CBD20Group,hasHigherIncidence,AdverseEvents,Results,Human,7052786
CBD20Group,hasDiscontinuationDueToAdverseEvents,FiveParticipants,Results,Human,7052786
CBD20Group,associatedWith,ElevatedLiverTransaminases,Results,Human,7052786
ElevatedLiverTransaminases,associatedWith,ConcomitantValproate,Results,Human,7052786
NoDeaths,occurredIn,Study,Results,Human,7052786
Cannabidiol,demonstrates,DoseRangingEfficacy,Discussion,Human,7052786
TenMgPerKgPerDayCBD,hasBetter,SafetyProfile,Discussion,Human,7052786
TwentyMgPerKgPerDayCBD,hasHigher,AdverseEventRate,Discussion,Human,7052786
Cannabidiol,hasBenefitRiskProfile,Favorable,Discussion,Human,7052786
Cannabidiol,requires,IndividualizedDoseAdjustment,Discussion,Human,7052786
Study,confirms,PreviousCBDTrialFindings,Discussion,Human,7052786
Study,addsEvidenceFor,LowerDoseCannabidiol,Discussion,Human,7052786
Study,hasLimitation,ShortDuration,Discussion,Human,7052786
Study,hasLimitation,PediatricOnlyPopulation,Discussion,Human,7052786
STXBP1Disorder,isA,DevelopmentalAndEpilepticEncephalopathy,Introduction,Zebrafish,9436285
STXBP1Disorder,hasGeneticCause,STXBP1Mutation,Introduction,Zebrafish,9436285
STXBP1Mutation,associatedWith,OhtaharaSyndrome,Introduction,Zebrafish,9436285
STXBP1Mutation,associatedWith,DravetSyndrome,Introduction,Zebrafish,9436285
STXBP1Mutation,associatedWith,LennoxGastautSyndrome,Introduction,Zebrafish,9436285
STXBP1Mutation,associatedWith,WestSyndrome,Introduction,Zebrafish,9436285
STXBP1Mutation,associatedWith,AtypicalRettSyndrome,Introduction,Zebrafish,9436285
STXBP1Disorder,hasClinicalFeature,SpeechImpairment,Introduction,Zebrafish,9436285
STXBP1Disorder,hasClinicalFeature,IntellectualDisability,Introduction,Zebrafish,9436285
STXBP1Disorder,hasClinicalFeature,MovementDisorder,Introduction,Zebrafish,9436285
STXBP1Disorder,hasClinicalFeature,EEGAbnormality,Introduction,Zebrafish,9436285
STXBP1Disorder,hasSeizureType,InfantileSpasms,Introduction,Zebrafish,9436285
STXBP1Disorder,hasSeizureType,FocalSeizure,Introduction,Zebrafish,9436285
STXBP1Disorder,hasSeizureType,TonicClonicSeizure,Introduction,Zebrafish,9436285
STXBP1Disorder,hasSeizureType,AbsenceSeizure,Introduction,Zebrafish,9436285
STXBP1Disorder,hasTreatmentResistance,High,Introduction,Zebrafish,9436285
STXBP1Protein,binds,SNAREComplex,Introduction,Zebrafish,9436285
SNAREComplex,mediates,SynapticVesicleExocytosis,Introduction,Zebrafish,9436285
STXBP1Haploinsufficiency,impairs,InhibitorySynapticTransmission,Introduction,Zebrafish,9436285
STXBP1Haploinsufficiency,leadsTo,EpilepticPhenotype,Introduction,Zebrafish,9436285
ZebrafishModel,usedFor,AntiseizureDrugScreening,Introduction,Zebrafish,9436285
Zebrafish,hasSpecies,DanioRerio,Methods,Zebrafish,9436285
Zebrafish,hasDevelopmentalStage,Larval,Methods,Zebrafish,9436285
stxbp1bMutantZebrafish,generatedBy,CRISPRCas9,Methods,Zebrafish,9436285
stxbp1bGene,isParalogOf,HumanSTXBP1,Methods,Zebrafish,9436285
stxbp1bGene,sharesAminoAcidIdentity,SeventyNinePercent,Methods,Zebrafish,9436285
LarvalZebrafish,assessedAt,FourDaysPostFertilization,Methods,Zebrafish,9436285
LarvalZebrafish,embeddedIn,LowMeltingPointAgarose,Methods,Zebrafish,9436285
Electrophysiology,records,LocalFieldPotential,Methods,Zebrafish,9436285
LocalFieldPotential,recordedFrom,OpticTectum,Methods,Zebrafish,9436285
RecordingElectrode,hasTipDiameter,OneMicrometer,Methods,Zebrafish,9436285
LFPRecording,hasDuration,SixtyMinutes,Methods,Zebrafish,9436285
BaselinePeriod,hasDuration,FifteenMinutes,Methods,Zebrafish,9436285
DrugExposurePeriod,hasDuration,FortyFiveMinutes,Methods,Zebrafish,9436285
TypeIIEvent,definedBy,HighAmplitude,Methods,Zebrafish,9436285
TypeIIEvent,definedBy,LongDuration,Methods,Zebrafish,9436285
TypeIIEvent,associatedWith,PostictalDepression,Methods,Zebrafish,9436285
DataAnalysis,performedBy,BlindedExperimenter,Methods,Zebrafish,9436285
Drug,administeredBy,BathApplication,Methods,Zebrafish,9436285
Drug,testedAtConcentration,OneMilliMolar,Methods,Zebrafish,9436285
stxbp1bMutantZebrafish,exhibits,SpontaneousElectrographicSeizures,Results,Zebrafish,9436285
SpontaneousElectrographicSeizures,classifiedAs,TypeIIEvent,Results,Zebrafish,9436285
TypeIIEvent,hasFrequency,SevenPointSixPerFifteenMinutes,Results,Zebrafish,9436285
TypeIIEvent,hasFrequencyStandardError,ZeroPointSix,Results,Zebrafish,9436285
TypeIIEvent,hasBaselineRate,ZeroPointZeroOneHertz,Results,Zebrafish,9436285
Phenytoin,testedIn,stxbp1bMutantZebrafish,Results,Zebrafish,9436285
Valproate,testedIn,stxbp1bMutantZebrafish,Results,Zebrafish,9436285
Ethosuximide,testedIn,stxbp1bMutantZebrafish,Results,Zebrafish,9436285
Levetiracetam,testedIn,stxbp1bMutantZebrafish,Results,Zebrafish,9436285
Diazepam,testedIn,stxbp1bMutantZebrafish,Results,Zebrafish,9436285
Phenytoin,hasEffectOn,TypeIIEventFrequencyNone,Results,Zebrafish,9436285
Valproate,hasEffectOn,TypeIIEventFrequencyNone,Results,Zebrafish,9436285
Ethosuximide,hasEffectOn,TypeIIEventFrequencyNone,Results,Zebrafish,9436285
Levetiracetam,hasEffectOn,TypeIIEventFrequencyNone,Results,Zebrafish,9436285
Diazepam,hasEffectOn,TypeIIEventFrequencyNone,Results,Zebrafish,9436285
Clemizole,testedIn,stxbp1bMutantZebrafish,Results,Zebrafish,9436285
Trazodone,testedIn,stxbp1bMutantZebrafish,Results,Zebrafish,9436285
Clemizole,reduces,TypeIIEventFrequency,Results,Zebrafish,9436285
Trazodone,reduces,TypeIIEventFrequency,Results,Zebrafish,9436285
Clemizole,reducesTypeIIEventFrequencyBy,EightyPercent,Results,Zebrafish,9436285
Trazodone,reducesTypeIIEventFrequencyBy,EightyThreePercent,Results,Zebrafish,9436285
Clemizole,hasPValue,LessThanZeroPointZeroZeroZeroOne,Results,Zebrafish,9436285
Trazodone,hasPValue,LessThanZeroPointZeroZeroZeroOne,Results,Zebrafish,9436285
Clemizole,hasMechanism,SerotoninReceptorModulation,Results,Zebrafish,9436285
Trazodone,hasMechanism,SerotoninReceptorModulation,Results,Zebrafish,9436285
STXBP1RelatedDisorder,classifiedAs,DrugResistantEpilepsy,Discussion,Zebrafish,9436285
ZebrafishModel,recapitulates,HumanPharmacoresistance,Discussion,Zebrafish,9436285
Clemizole,identifiedIn,DravetSyndromeZebrafishModel,Discussion,Zebrafish,9436285
Trazodone,identifiedIn,DravetSyndromeZebrafishModel,Discussion,Zebrafish,9436285
Clemizole,binds,Serotonin2BReceptor,Discussion,Zebrafish,9436285
Trazodone,binds,Serotonin2BReceptor,Discussion,Zebrafish,9436285
Serotonin2BReceptor,modulationReduces,SeizureActivity,Discussion,Zebrafish,9436285
PreclinicalFinding,supports,ClinicalTrialDevelopment,Discussion,Zebrafish,9436285
Study,supports,DrugRepurposingStrategy,Discussion,Zebrafish,9436285
Study,suggests,FutureClinicalStudies,Discussion,Zebrafish,9436285
DravetSyndrome,isA,DevelopmentalAndEpilepticEncephalopathy,Introduction,Human,6902175
DravetSyndrome,hasEstimatedIncidence,OneInFifteenThousandSevenHundredToOneInFortyThousandNineHundred,Introduction,Human,6902175
DravetSyndrome,hasAgeOfOnset,FirstYearOfLife,Introduction,Human,6902175
DravetSyndrome,hasSeizureType,ConvulsiveSeizure,Introduction,Human,6902175
DravetSyndrome,hasSeizureCharacteristic,Pharmacoresistant,Introduction,Human,6902175
DravetSyndrome,associatedWith,IntellectualDisability,Introduction,Human,6902175
DravetSyndrome,associatedWith,MotorImpairment,Introduction,Human,6902175
DravetSyndrome,associatedWith,BehavioralImpairment,Introduction,Human,6902175
DravetSyndrome,associatedWith,CognitiveImpairment,Introduction,Human,6902175
DravetSyndrome,hasGeneticAssociation,SCN1AAlteration,Introduction,Human,6902175
SCN1AAlteration,presentInPercentage,SeventyToEightyFivePercent,Introduction,Human,6902175
DravetSyndrome,hasDiagnosisBasis,ElectroclinicalCriteria,Introduction,Human,6902175
DravetSyndrome,hasIncreasedRisk,SUDEP,Introduction,Human,6902175
GeneralizedTonicClonicSeizureFrequency,isRiskFactorFor,SUDEP,Introduction,Human,6902175
DravetSyndrome,hasTreatmentResistance,High,Introduction,Human,6902175
Stiripentol,usedInCombinationWith,Clobazam,Introduction,Human,6902175
Stiripentol,usedInCombinationWith,Valproate,Introduction,Human,6902175
Cannabidiol,isFDAApprovedFor,DravetSyndrome,Introduction,Human,6902175
Stiripentol,wasOnlyApprovedTreatmentOutsideUnitedStates,BeforeCannabidiolApproval,Introduction,Human,6902175
PatientsWithDravetSyndrome,haveUnmetTreatmentNeed,TRUE,Introduction,Human,6902175
Fenfluramine,previouslyDemonstratedEfficacyIn,DravetSyndrome,Introduction,Human,6902175
Fenfluramine,excludedFromPreviousTrialWhenCombinedWith,Stiripentol,Introduction,Human,6902175
PharmacokineticData,requiredFor,DoseSelectionWithStiripentol,Introduction,Human,6902175
Study,hasDesign,RandomizedDoubleBlindPlaceboControlledTrial,Methods,Human,6902175
Study,hasPhase,PhaseThree,Methods,Human,6902175
Study,hasClinicalTrialIdentifier,NCT02926898,Methods,Human,6902175
Study,conductedAt,MulticenterInternational,Methods,Human,6902175
Study,hasCountries,UnitedStates,Methods,Human,6902175
Study,hasCountries,Canada,Methods,Human,6902175
Study,hasCountries,France,Methods,Human,6902175
Study,hasCountries,Germany,Methods,Human,6902175
Study,hasCountries,Netherlands,Methods,Human,6902175
Study,hasCountries,Spain,Methods,Human,6902175
Study,hasCountries,UnitedKingdom,Methods,Human,6902175
