s	p	o
n16833	p1564	n20003
n7799	p1564	n19488
n9480	p1564	n1469
n9480	p1564	n8278
n14048	p3666	n21390
n5142	p2938	n18352
n5142	p1694	n16300
n5142	p1694	n14701
n5142	p1694	n4699
n5142	p1694	n15556
n5142	p1730	n6077
n16732	p890	n12452
n21326	p1227	n1962
n17157	p890	n1933
n1933	p1389	n11735
n1933	p1389	n11736
n1933	p1389	n11734
n1933	p1389	n2962
n1933	p1389	n2972
n17157	p1398	n8291
n17157	p1398	n8292
n7524	p1135	n17157
n17157	p1227	n6389
n17157	p1227	n6394
n17157	p1227	n6399
n17157	p1227	n6400
n17157	p1227	n6401
n17157	p1227	n6402
n17171	p1389	n17308
n3624	p1389	n19443
n14089	p1227	n9692
n8244	p1389	n8417
n8249	p4012	n8244
n8250	p4012	n8244
n17274	p1389	n8417
n17274	p1135	n12505
n21577	p1389	n13591
n19583	p1389	n2991
n21430	p1389	n15410
n8747	p1389	n610
n682	p1389	n18885
n13861	p1389	n17928
n5222	p1694	n7817
n5222	p1694	n21027
n5222	p1694	n6836
n5222	p1694	n7802
n5222	p1694	n16300
n5222	p1694	n15471
n5222	p1694	n8019
n5222	p1694	n20072
n5452	p1494	n16691
n2142	p1694	n13339
n1407	p1351	n16486
n16486	p1730	n4385
n5222	p1730	n16486
n5222	p1135	n17157
n17157	p1135	n21869
n21869	p1605	n11607
n21869	p1398	n10699
n21869	p1398	n10700
n21869	p1398	n1380
n5222	p1398	n8817
n13983	p1398	n8439
n16732	p1398	n13102
n21869	p3666	n2986
n21869	p1389	n13383
n21869	p1389	n20448
n21869	p1389	n7221
n21869	p1389	n13085
n21869	p1389	n13084
n10941	p1389	n16424
n21869	p1389	n16417
n21869	p1389	n12506
n21869	p1389	n3681
n17664	p1694	n19156
n17664	p1730	n769
n17656	p1694	n13145
n17656	p1694	n13354
n17656	p1694	n13338
n17666	p2090	n6247
n17666	p2090	n6249
n17666	p1694	n13016
n17511	p3666	n18882
n17157	p1351	n1593
n21869	p1351	n5142
n21869	p1605	n7760
n20448	p1351	n7214
n18562	p1389	n13328
n17170	p1351	n5721
n1934	p1389	n18892
n21579	p1389	n8525
n10940	p899	n20450
n17664	p4012	n5149
n17511	p4012	n5149
n6010	p1383	n15522
n15522	p4012	n2732
n2655	p4012	n13236
n2655	p1389	n1271
n2655	p1389	n1256
n2655	p2967	n5142
n2655	p2967	n10511
n10511	p4012	n5330
n2655	p1608	n8101
n2655	p1608	n7571
n2655	p1608	n12259
n2655	p1608	n19845
n2655	p1608	n21312
n6024	p232	n1092
n6024	p232	n11635
n11626	p1227	n8094
n8094	p1389	n8104
n8093	p1389	n12928
n8093	p1389	n15428
n8094	p2734	n11626
n8094	p3592	n7041
n7041	p1227	n7040
n7041	p1227	n11414
n11414	p1227	n11412
n11412	p1389	n11410
n11405	p1389	n15428
n11405	p2772	n17360
n17360	p1389	n11423
n11423	p1873	n12929
n11423	p1873	n4245
n17360	p2496	n731
n17360	p2496	n8801
n8801	p2341	n11405
n8801	p2341	n4186
n731	p1389	n18019
n8801	p1389	n15230
n4742	p4012	n2020
n4742	p1237	n18506
n4742	p2963	n14443
n7904	p1987	n2426
n2426	p232	n21743
n21743	p2526	n9833
n21744	p2526	n8803
n21746	p2526	n6489
n8882	p2526	n3516
n7516	p2576	n11626
n7513	p2576	n11626
n9236	p2963	n11640
n14763	p4012	n11641
n13861	p4012	n7282
n13861	p2964	n17937
n17937	p2621	n17750
n2655	p2135	n2975
n2655	p771	n12018
n2655	p694	n7515
n7515	p4012	n8095
n7515	p1389	n10646
n7515	p1227	n10644
n10644	p1227	n10645
n7515	p2730	n7512
n7512	p4012	n8095
n7515	p2576	n11626
n7512	p2576	n11626
n21745	p492	n2425
n2425	p2267	n16001
n7517	p238	n2425
n7514	p238	n2425
n21745	p771	n3013
n21745	p492	n8098
n21745	p492	n11411
n2655	p3702	n11408
n2655	p492	n11411
n2655	p862	n21745
n2655	p1576	n11415
n11415	p4051	n11412
n2655	p2135	n11413
n2655	p3702	n7041
n2655	p492	n19822
n2655	p492	n11425
n21745	p492	n19821
n21745	p492	n11426
n21745	p238	n2690
n7041	p1227	n20071
n7041	p1227	n11424
n20071	p4012	n7040
n11424	p4012	n7040
n8094	p2459	n7041
n17513	p2621	n5142
n17442	p1227	n12492
n17513	p1694	n17747
n17513	p1694	n6024
n17513	p1113	n8093
n17513	p1113	n11405
n17513	p1113	n4186
n5142	p232	n13545
n13545	p1227	n11406
n13545	p1227	n8097
n13545	p1227	n4187
n2655	p3274	n11408
n3227	p3272	n2148
n15818	p2963	n677
n13872	p871	n11408
n2720	p238	n11407
n13872	p772	n8100
n13872	p772	n4188
n2655	p1389	n17785
n2655	p1576	n13544
n13544	p1227	n11409
n13544	p694	n8094
n8094	p1227	n7512
n8094	p1227	n7515
n11635	p232	n13751
n8093	p4012	n12264
n12259	p1389	n6334
n8093	p1389	n6342
n8093	p1389	n9783
n731	p232	n6156
n4249	p232	n6156
n731	p2548	n4249
n13223	p4012	n12817
n13223	p2267	n8096
n13223	p1694	n6024
n13223	p1694	n5820
n5142	p232	n8098
n17750	p871	n11408
n2655	p238	n17762
n11408	p2759	n17750
n13543	p2759	n6024
n11409	p2765	n17785
n5142	p4299	n13546
n16732	p1398	n12492
n17513	p2267	n17500
n7524	p1694	n6748
n7524	p1694	n840
n7524	p1694	n522
n7524	p1694	n12194
n7524	p1694	n1473
n7524	p1694	n7026
n7524	p1694	n7817
n7524	p1494	n7814
n17186	p1218	n7524
n7438	p1218	n7524
n7476	p1218	n7524
n7454	p1218	n7524
n7475	p1218	n7524
n13795	p1218	n7524
n17311	p1218	n7524
n7476	p1218	n3160
n7476	p1218	n12184
n7357	p1389	n6674
n7357	p1489	n3193
n7357	p1227	n7684
n7684	p1389	n15910
n7684	p1389	n19700
n7684	p2576	n11035
n10185	p2576	n7691
n7490	p1819	n10183
n7490	p1218	n7524
n7490	p1605	n1034
n8246	p1227	n7357
n7364	p1605	n534
n7364	p1694	n20840
n8731	p1227	n7357
n7695	p1605	n536
n5839	p2121	n16067
n5839	p2121	n16053
n5839	p2121	n16128
n9376	p1520	n10381
n9376	p1520	n13233
n10300	p1389	n6188
n7623	p1819	n7630
n7623	p1819	n10183
n7623	p1227	n19915
n8803	p1389	n7830
n21232	p708	n21736
n9010	p2121	n9048
n13862	p2121	n3117
n21430	p1389	n15613
n21452	p1389	n11255
n12112	p1389	n11256
n7623	p1694	n1500
n7623	p1694	n20777
n7623	p1694	n12194
n7623	p1694	n7817
n1500	p1464	n10121
n20777	p1464	n16636
n7623	p1494	n18743
n13862	p3789	n10996
n7623	p2090	n18049
n15081	p1218	n17326
n7623	p1694	n15081
n7817	p2121	n15081
n9007	p2121	n12194
n9007	p2121	n7817
n7623	p1694	n870
n7623	p1694	n8948
n7623	p1694	n13325
n7623	p1694	n13375
n7358	p1694	n20845
n7359	p1694	n20845
n7362	p1694	n20845
n7363	p1694	n20842
n7357	p1694	n20843
n7357	p1227	n7971
n7971	p1389	n7429
n7695	p1605	n7233
n7380	p665	n12728
n7695	p665	n7380
n10484	p2576	n18941
n11549	p3666	n1108
n7623	p665	n11550
n11549	p1694	n20837
n11549	p1694	n20834
n16054	p2090	n12881
n21207	p2576	n20117
n7623	p1694	n15310
n15310	p1694	n9001
n9001	p1694	n17951
n7490	p492	n7524
n7623	p3628	n7530
n7623	p1694	n6748
n7623	p1694	n840
n7361	p492	n7863
n7496	p3666	n7360
n7496	p1605	n9312
n7496	p1605	n9254
n7496	p1605	n9264
n7496	p1605	n1010
n10184	p1605	n16102
n16102	p615	n17900
n16813	p1218	n5142
n16813	p665	n9951
n4430	p665	n7342
n4421	p665	n7380
n15651	p1819	n7494
n7494	p1218	n6748
n7494	p1218	n522
n7494	p1605	n5524
n7494	p1605	n16005
n10184	p1605	n16127
n10184	p1605	n15310
n7817	p1218	n17326
n7588	p2090	n17344
n15081	p1706	n17917
n7841	p3272	n6069
n9007	p1351	n6832
n6832	p3494	n6748
n19126	p3492	n6762
n881	p3272	n6762
n7623	p1389	n5348
n7623	p1389	n11274
n10184	p492	n16057
n16057	p492	n7530
n16713	p679	n20306
n20306	p2034	n16293
n16293	p109	n13941
n18384	p2014	n16685
n18384	p2014	n21063
n1131	p3860	n13937
n1131	p3860	n19540
n1131	p3860	n4970
n1131	p3860	n10442
n3755	p883	n3693
n3755	p883	n21062
n2003	p1070	n3757
n3768	p2034	n1828
n3768	p2034	n1997
n13980	p331	n10852
n17560	p3628	n5177
n8186	p3628	n12917
n21499	p4012	n2302
n1884	p2304	n6772
n6772	p4012	n13218
n21364	p4012	n8784
n21433	p3901	n6059
n21433	p3901	n10719
n21433	p3901	n18161
n21433	p3480	n9817
n4301	p2843	n4838
n3354	p2363	n19559
n3416	p4026	n3353
n3416	p2311	n783
n3416	p2311	n7887
n782	p4051	n3235
n10041	p1856	n3235
n10294	p4051	n7809
n1111	p1856	n7809
n8718	p1856	n7809
n7885	p3367	n5541
n7885	p3367	n10443
n5541	p3363	n18398
n10443	p3357	n18398
n13979	p1987	n20405
n20405	p21	n11887
n20405	p2034	n19402
n20405	p2034	n20341
n20405	p2034	n14306
n20405	p2034	n20340
n20405	p2034	n12678
n9602	p23	n18772
n13980	p492	n6284
n19440	p569	n12027
n3756	p118	n3817
n3756	p883	n10356
n10355	p2128	n18386
n18386	p468	n10350
n3755	p2984	n18385
n3755	p2984	n3687
n3755	p2984	n16294
n18107	p2034	n10125
n18107	p2034	n13604
n18107	p2034	n19657
n3755	p3895	n1857
n3755	p3895	n1998
n16732	p890	n12333
n12333	p4012	n21331
n16732	p4012	n21339
n16732	p232	n7798
n16732	p232	n18352
n18352	p3622	n17266
n7798	p3622	n7524
n18352	p1694	n6748
n18352	p1105	n6942
n18352	p1564	n10031
n18352	p1994	n15472
n18352	p1694	n1469
n18352	p2267	n16825
n16825	p1605	n1045
n7524	p2267	n16825
n7524	p2267	n17170
n7524	p2267	n17191
n7524	p2267	n7483
n1907	p2267	n17191
n10029	p232	n16825
n10029	p232	n18352
n16825	p1605	n10833
n16825	p1605	n7644
n7644	p1564	n14410
n10833	p1564	n13269
n14141	p1389	n3106
n21453	p1389	n11258
n21453	p1389	n11259
n21453	p1389	n11261
n8912	p1819	n6522
n8912	p1819	n7263
n8912	p1819	n7264
n8912	p1819	n15630
n8912	p1819	n6507
n16732	p1819	n6522
n16732	p1819	n7263
n16732	p1819	n7264
n16732	p1819	n15630
n16732	p1819	n6507
n18581	p1389	n7835
n21970	p4012	n8854
n21970	p1389	n8417
n12149	p2434	n21970
n21507	p2434	n21970
n16743	p1227	n995
n16743	p1227	n1933
n16743	p1227	n1938
n1933	p2414	n17157
n1938	p2414	n17195
n20073	p1389	n18850
n20073	p2965	n19872
n14396	p1389	n11260
n10012	p1389	n20066
n11376	p1389	n10021
n6522	p2576	n16762
n15630	p2576	n16764
n6507	p2576	n16764
n7263	p2576	n16763
n7264	p2576	n16763
n6522	p1605	n13269
n7263	p1605	n13269
n7264	p1605	n16015
n7264	p1605	n11554
n15630	p1605	n9262
n6507	p1605	n9262
n9262	p1564	n18755
n9262	p1564	n10523
n15630	p1605	n14410
n6507	p1605	n14410
n14410	p2252	n20073
n15630	p1605	n4598
n15630	p1605	n15986
n15630	p1605	n8994
n6507	p1605	n4599
n15630	p1605	n6700
n6507	p1605	n6700
n7264	p1605	n12602
n15630	p1605	n1041
n7264	p1605	n1041
n6507	p1605	n9298
n7264	p1605	n1042
n15636	p232	n7524
n15636	p1605	n14410
n15630	p2302	n15636
n15630	p1605	n8168
n10011	p2526	n15302
n10983	p1605	n16164
n10983	p1605	n1033
n10983	p1605	n16165
n14410	p2267	n9262
n14410	p2267	n7644
n13269	p2267	n10833
n7644	p232	n7524
n10833	p232	n18352
n18352	p232	n11652
n7264	p1605	n16007
n16007	p2267	n16015
n16007	p2267	n18434
n16007	p2267	n18435
n16811	p1694	n3918
n16811	p232	n7958
n7958	p2267	n2022
n7958	p2267	n7888
n7958	p2267	n4673
n7958	p2267	n5995
n7958	p2267	n11394
n14410	p1389	n15336
n12869	p2267	n11007
n12869	p2267	n19639
n17992	p2267	n18861
n18861	p4012	n3099
n18352	p1694	n12876
n12876	p2267	n6355
n11990	p232	n19628
n19628	p2267	n10118
n18869	p1605	n18049
n7189	p1389	n6192
n7189	p1389	n19563
n5142	p4012	n14474
n5142	p1218	n3550
n5142	p1218	n1837
n5142	p1790	n15065
n12304	p4012	n21326
n16814	p492	n12320
n12304	p2575	n6682
n6682	p4012	n7398
n14132	p4012	n6682
n12320	p492	n16097
n16097	p3023	n2136
n2136	p3023	n18093
n18855	p469	n5142
n5962	p441	n18093
n14998	p4051	n12320
n8765	p4012	n19066
n8765	p4051	n12304
n8765	p3488	n12304
n8765	p2135	n12318
n8765	p2135	n12340
n8765	p2090	n14415
n14415	p2090	n9734
n8247	p975	n21751
n2481	p975	n21762
n8765	p2795	n15921
n8765	p1854	n12275
n8765	p1853	n9713
n8765	p1853	n10305
n8765	p1294	n4184
n8765	p1294	n4185
n8765	p1294	n4183
n8765	p1846	n8855
n21662	p4012	n21178
n21662	p2359	n10047
n17582	p4012	n5211
n17582	p1415	n17505
n5211	p714	n19200
n5211	p1694	n5609
n21455	p2743	n2329
n2329	p1182	n7398
n2320	p4012	n6314
n10022	p4012	n2488
n5743	p708	n9904
n9904	p4012	n6154
n8765	p899	n21753
n8765	p681	n21752
n8765	p492	n21754
n8765	p1817	n21751
n8765	p1544	n21756
n8765	p1649	n21755
n8765	p1649	n21757
n8765	p1649	n21758
n8765	p1649	n21759
n8765	p1649	n21760
n8765	p1649	n21761
n8765	p817	n10231
n8765	p817	n10218
n8765	p817	n21749
n12315	p1771	n16719
n12315	p1771	n16723
n8765	p2150	n12315
n8765	p1996	n5014
n5195	p950	n594
n594	p3666	n9738
n8765	p3762	n594
n8765	p3774	n9734
n8765	p3984	n6323
n8765	p772	n21377
n5211	p1160	n8456
n8769	p3666	n8456
n8769	p3666	n21447
n8769	p3666	n17862
n8769	p3666	n11835
n17833	p3492	n11838
n3909	p15	n18093
n8771	p1097	n13093
n18125	p4012	n14992
n18125	p4051	n11738
n19935	p341	n18093
n19935	p441	n15065
n8765	p2259	n19911
n12350	p631	n15238
n12350	p2338	n5142
n12352	p660	n14879
n12316	p2095	n14879
n12320	p3090	n5107
n9651	p3492	n3537
n9651	p3492	n1830
n8765	p3006	n2050
n8767	p3218	n11487
n12304	p1792	n11264
n12305	p641	n13939
n5133	p1941	n12320
n12320	p644	n13940
n12307	p3234	n16741
n12307	p3234	n10038
n14120	p4012	n14171
n12307	p3234	n17409
n17409	p1684	n14114
n12307	p3234	n1083
n1083	p1684	n12710
n16135	p492	n3550
n8765	p2361	n19065
n19065	p603	n10102
n10102	p357	n19911
n5142	p4012	n18320
n5142	p1847	n6767
n5142	p1847	n21566
n5142	p1847	n19222
n21566	p1315	n20946
n5142	p1218	n15470
n5142	p1218	n3546
n5142	p1218	n11915
n5142	p1218	n8975
n5142	p1218	n1548
n5142	p1620	n4141
n11841	p232	n19536
n11841	p232	n19291
n12304	p4012	n21317
n16802	p492	n16132
n16132	p749	n6300
n12304	p2434	n7398
n7398	p1861	n14121
n7398	p1861	n18958
n16132	p492	n16086
n16086	p492	n12711
n16819	p232	n7871
n16784	p232	n1529
n16784	p232	n6615
n19929	p111	n12319
n19929	p111	n12316
n1134	p3907	n7874
n1134	p3907	n3388
n17619	p4012	n5211
n17454	p4012	n16819
n17454	p2577	n6398
n17454	p84	n12321
n12321	p2577	n5013
n17619	p1401	n2291
n2485	p978	n4104
n4104	p3252	n6405
n4104	p3252	n12153
n17619	p978	n307
n20174	p2121	n8356
n5795	p3656	n8752
n5795	p3656	n4563
n5795	p3656	n15048
n10680	p4012	n5797
n21244	p477	n17770
n18039	p2856	n11702
n6537	p4208	n94
n94	p4012	n8045
n17355	p4212	n10658
n9235	p4252	n12322
n17619	p1694	n5609
n5609	p2334	n19536
n17619	p1694	n8364
n8364	p2526	n9007
n17619	p1554	n8356
n3945	p1456	n8356
n17619	p1496	n9901
n9901	p1614	n19067
n9901	p1614	n12109
n9901	p1292	n7004
n9901	p1292	n7793
n20002	p2090	n9902
n9903	p3492	n8356
n8356	p280	n3409
n8356	p280	n19468
n17747	p1816	n7817
n17747	p951	n10008
n17747	p951	n9877
n17747	p1694	n12042
n17747	p1707	n4563
n17747	p1057	n15048
n17747	p1057	n8752
n8356	p432	n19291
n19291	p331	n4385
n17619	p1213	n19004
n17619	p1213	n19010
n17619	p1213	n11360
n11832	p708	n19010
n13421	p708	n10782
n17619	p1621	n3986
n17619	p1621	n1703
n16699	p708	n16131
n10076	p708	n16074
n5814	p708	n16130
n11925	p3556	n856
n17619	p1152	n1310
n1310	p2523	n16249
n17619	p1152	n8948
n8948	p2523	n9521
n17619	p1152	n19329
n19329	p4012	n16390
n17619	p1152	n9261
n11171	p708	n16155
n17619	p1152	n9291
n9291	p2524	n14721
n17619	p1837	n16344
n18806	p708	n4473
n4473	p442	n11895
n17619	p1589	n9471
n6537	p708	n9471
n9471	p2713	n4017
n9471	p2713	n8751
n9471	p2713	n20117
n9471	p2713	n1718
n9471	p2713	n2185
n9471	p2713	n3057
n17619	p1607	n16200
n12333	p951	n13082
n12322	p136	n18524
n17619	p3628	n5203
n17619	p4012	n16679
n17619	p883	n15618
n15618	p2034	n20188
n15618	p2034	n5455
n15618	p2034	n11925
n15618	p2034	n8948
n15618	p2034	n3539
n20166	p3910	n14191
n14191	p2034	n19536
n14191	p2034	n11892
n14191	p2034	n3523
n14191	p2034	n1813
n7841	p3272	n1859
n2292	p3272	n18782
n19329	p442	n8948
n12680	p2524	n4303
n6537	p2258	n2134
n6537	p3226	n20171
n6306	p331	n1003
n1252	p387	n6538
n9905	p331	n8977
n12304	p2426	n9755
n12304	p2145	n581
n12304	p3569	n581
n12304	p2434	n7401
n7401	p1861	n14112
n7401	p1861	n18954
n16825	p232	n7871
n5142	p1218	n3522
n5142	p1218	n11891
n5142	p1218	n1890
n5230	p2159	n6306
n16802	p1994	n7394
n16802	p615	n6306
n16925	p2921	n5142
n15039	p2021	n7401
n15039	p3176	n20601
n15039	p3176	n20563
n1302	p4051	n16849
n1302	p2090	n7219
n7220	p126	n6120
n17304	p4012	n1304
n1396	p4051	n16812
n1396	p2090	n12312
n5528	p4012	n331
n5528	p4206	n7410
n8466	p883	n7777
n8466	p684	n7183
n7183	p1512	n18596
n7777	p3774	n16775
n2353	p4012	n20803
n735	p466	n2770
n6177	p4012	n2992
n6177	p2434	n14112
n19756	p4012	n19747
n19756	p2776	n9746
n20982	p4012	n9762
n4997	p574	n7413
n8239	p4012	n8466
n8239	p1744	n10408
n20153	p684	n17148
n12292	p253	n6177
n736	p2624	n12293
n736	p1771	n8255
n12293	p3371	n8255
n21582	p3666	n2357
n2355	p4012	n4089
n690	p4012	n5422
n690	p978	n7543
n7543	p4012	n7244
n7543	p2340	n2353
n4255	p4012	n8933
n684	p4012	n733
n684	p978	n7543
n7543	p2340	n4255
n8237	p4012	n8466
n8237	p978	n17148
n17148	p2340	n4255
n8236	p4012	n8466
n8236	p978	n11012
n8236	p2339	n8237
n21899	p3602	n11183
n6983	p3602	n7545
n2010	p3602	n9396
n9235	p708	n2995
n15156	p2361	n11287
n15156	p2905	n1658
n15144	p2361	n12960
n15161	p2361	n12960
n19322	p686	n8751
n19322	p686	n20117
n20138	p4200	n17622
n17622	p4012	n5211
n17622	p4012	n3828
n9010	p2121	n20195
n8243	p4012	n2971
n17231	p4012	n8893
n12760	p4012	n11982
n19825	p4012	n8890
n13834	p733	n19826
n147	p3439	n6177
n16735	p1961	n12640
n20982	p1744	n15036
n4255	p2090	n20495
n4255	p3069	n10869
n4255	p1727	n7401
n690	p3514	n6180
n683	p2126	n2356
n690	p2126	n6179
n690	p2126	n2356
n6178	p1012	n15155
n683	p3940	n1425
n690	p3940	n1425
n11453	p951	n10871
n684	p3959	n7401
n684	p3671	n1438
n684	p3671	n6314
n684	p3780	n7546
n684	p3946	n683
n2635	p951	n13111
n2635	p1744	n10918
n8237	p2090	n19609
n8237	p126	n6120
n8237	p2090	n18067
n15040	p2014	n19600
n15040	p2090	n20204
n15156	p978	n2355
n15156	p978	n6177
n1425	p951	n8449
n4255	p3939	n7402
n13391	p4146	n15668
n16732	p2205	n11883
n16732	p232	n7861
n16732	p3148	n894
n10841	p492	n5142
n16925	p3904	n9746
n2771	p2273	n733
n12291	p2540	n19032
n737	p694	n12091
n737	p694	n9860
n737	p694	n8397
n737	p694	n17405
n9389	p381	n21170
n5924	p4300	n14579
n16734	p3914	n10944
n4997	p2176	n7373
n20982	p2176	n7373
n16894	p3778	n2635
n4255	p3761	n8470
n15042	p2920	n5211
n11689	p3176	n20172
n6285	p3157	n15416
n15417	p3143	n10775
n17304	p3549	n4852
n5528	p4051	n7401
n8237	p883	n10783
n8237	p242	n13215
n12304	p2434	n2099
n12304	p2434	n8337
n16732	p2205	n11882
n5142	p1816	n13186
n5142	p1218	n11913
n13186	p280	n10027
n13186	p232	n3532
n13186	p232	n1834
n13186	p3666	n18809
n17463	p3666	n4036
n16014	p3666	n12714
n16148	p124	n6300
n1012	p3565	n3970
n17521	p2090	n20191
n17522	p2090	n20191
n18135	p3475	n12914
n13446	p4012	n20091
n13446	p603	n7401
n13446	p978	n17442
n13446	p3274	n20107
n13446	p2135	n16348
n13446	p3702	n20111
n13446	p443	n17747
n21206	p4012	n16348
n21206	p978	n17442
n21843	p4012	n10063
n14812	p2510	n20088
n14812	p615	n20098
n5211	p4012	n17530
n5211	p4201	n17581
n17581	p4012	n10839
n17587	p4012	n5211
n21497	p2339	n5211
n14141	p3656	n21847
n14141	p3656	n19813
n19880	p4012	n10942
n17249	p4012	n2593
n17246	p1861	n17240
n10248	p890	n17240
n8824	p3526	n21838
n9930	p929	n20095
n20094	p3372	n19098
n11442	p3749	n15916
n5472	p708	n13186
n5447	p708	n4060
n12017	p3656	n21837
n12017	p3656	n20972
n21244	p753	n13187
n5435	p4012	n17248
n5435	p899	n17249
n10687	p684	n5437
n19792	p684	n5435
n13636	p4051	n20972
n17288	p4012	n2030
n17288	p4084	n19807
n19807	p1909	n2283
n19807	p1909	n20393
n3778	p3269	n21851
n3778	p2004	n19816
n3778	p2004	n21856
n21846	p2042	n17249
n21846	p2042	n19880
n21846	p2042	n6679
n21846	p2042	n4491
n21232	p3655	n13188
n13186	p280	n1500
n1500	p1194	n4415
n1500	p382	n6504
n1500	p382	n20948
n17463	p2090	n21845
n9501	p2118	n4442
n17463	p695	n619
n17463	p2090	n624
n21844	p1030	n590
n21844	p899	n10057
n21844	p899	n15888
n5968	p2090	n612
n17463	p772	n19810
n17463	p772	n19811
n17463	p772	n19812
n17463	p772	n19148
n17463	p772	n19147
n21848	p2616	n19880
n21848	p2616	n17249
n19881	p1744	n20835
n19881	p1744	n20846
n19881	p1744	n20841
n5968	p2685	n19415
n17251	p1744	n16018
n17463	p3666	n10250
n10251	p3666	n17241
n17245	p3308	n21848
n17245	p772	n19809
n16194	p3475	n5969
n16194	p3475	n9502
n16256	p799	n5968
n16256	p799	n9501
n9931	p929	n16634
n16634	p3749	n21853
n5211	p951	n10807
n10807	p1694	n11790
n10807	p1694	n10954
n21852	p1744	n8968
n3286	p899	n12723
n5966	p1694	n10804
n5966	p1694	n11791
n5966	p1694	n10989
n10810	p492	n19414
n19414	p492	n10986
n13192	p4012	n4059
n13192	p1322	n7106
n13192	p1320	n14674
n14674	p736	n20778
n13190	p1322	n7106
n13190	p1320	n14674
n11983	p3763	n8895
n21839	p2747	n4055
n20974	p2747	n4055
n21855	p3367	n13186
n21855	p3367	n9047
n5436	p3666	n19171
n19786	p3666	n13194
n17252	p4096	n13189
n17252	p4051	n21837
n21837	p3562	n20972
n20972	p3562	n18944
n21854	p2265	n13193
n17290	p874	n20973
n17290	p2121	n20387
n17290	p3998	n13582
n17934	p3749	n17289
n17463	p3666	n17251
n16195	p854	n20089
n20089	p3565	n13184
n3698	p3851	n10088
n18438	p2090	n9828
n9503	p899	n10057
n5964	p899	n15888
n5964	p899	n19094
n20098	p2863	n17249
n17250	p492	n20086
n17240	p4012	n7895
n10249	p615	n13186
n20117	p2911	n13195
n3199	p4012	n17247
n17247	p381	n11935
n21540	p2034	n21850
n21540	p2034	n21840
n21540	p2034	n19814
n21540	p2034	n15829
n21540	p2034	n10148
n10148	p3069	n13186
n8945	p3658	n21837
n21842	p128	n463
n20117	p2844	n17946
n4031	p3666	n6908
n21841	p899	n6908
n8017	p3129	n5142
n20153	p3887	n5948
n20153	p3887	n15977
n17242	p232	n18662
n17242	p3666	n18701
n18668	p3187	n17244
n17243	p2090	n18701
n17243	p3666	n18662
n5979	p3221	n18667
n21849	p2504	n1489
n21837	p3133	n17783
n21837	p3133	n1530
n21326	p1295	n5010
n5010	p1804	n16726
n16726	p1394	n21358
n5011	p1393	n18740
n5011	p4106	n9405
n9404	p256	n18870
n15638	p2989	n16786
n15633	p2989	n16786
n15638	p2577	n5011
n15633	p2577	n5011
n15638	p232	n7524
n15633	p232	n5142
n7524	p1194	n6748
n7524	p1194	n19176
n5142	p1194	n4470
n5142	p1194	n11925
n7524	p1916	n11681
n5142	p1916	n18322
n16770	p1194	n1222
n13591	p4012	n8417
n8248	p4012	n8417
n3778	p4012	n9363
n15638	p1161	n4443
n15638	p1161	n6701
n15638	p1161	n9523
n15633	p1161	n9523
n15637	p3269	n15638
n15637	p3666	n20316
n2026	p1341	n4436
n2026	p1576	n16222
n2026	p1576	n18756
n2026	p1576	n9568
n14415	p4012	n18879
n8417	p1520	n11269
n15632	p1780	n13398
n19979	p3274	n21338
n5288	p4012	n7886
n5292	p4012	n21883
n21883	p890	n13959
n13959	p2877	n12374
n5288	p1412	n18573
n11148	p978	n16786
n11148	p978	n17190
n11148	p978	n17210
n10182	p232	n7524
n16717	p232	n5142
n5290	p1694	n8356
n5291	p1694	n8356
n16825	p331	n4963
n19441	p3269	n14228
n19441	p924	n19997
n19441	p924	n19998
n2543	p4012	n7933
n2543	p4276	n15633
n2543	p4276	n15638
n2543	p4276	n15642
n21883	p2579	n21572
n21884	p492	n10536
n21884	p492	n10537
n12152	p4259	n6554
n5353	p4012	n6503
n21742	p4051	n21542
n16372	p603	n21882
n16372	p603	n15641
n7002	p978	n2912
n2912	p2435	n21972
n21220	p4266	n3911
n5799	p4274	n1165
n1165	p4012	n7384
n21452	p3655	n593
n21452	p3655	n18876
n4592	p929	n621
n4383	p3787	n21108
n15634	p1694	n19188
n15639	p1694	n19188
n15643	p3015	n17939
n8350	p4100	n17939
n8356	p1662	n15752
n15634	p1694	n8356
n15639	p1694	n8356
n15634	p1864	n16117
n15639	p1864	n16117
n17750	p232	n15065
n16117	p4275	n3412
n9746	p4012	n15150
n19448	p924	n9753
n1165	p2172	n5795
n15635	p1342	n19638
n15640	p1342	n19638
n19636	p492	n3072
n19636	p419	n19335
n14887	p4012	n19636
n5839	p2090	n9426
n5839	p2090	n9425
n15635	p363	n19637
n15640	p363	n19637
n15640	p951	n20012
n19206	p1316	n10808
n15635	p1371	n9551
n15640	p1371	n4440
n5839	p3666	n9723
n18876	p1227	n20512
n18876	p1227	n14415
n15635	p1838	n8982
n15640	p1838	n8982
n8982	p2712	n16693
n8982	p2712	n5839
n15644	p3019	n8982
n18881	p615	n617
n8982	p3565	n19636
n15635	p1839	n1048
n15640	p1839	n1048
n15635	p1839	n998
n15640	p1839	n998
n19979	p3274	n18890
n5011	p1792	n4382
n5012	p275	n4384
n8982	p4012	n3887
n3887	p2150	n8351
n15633	p3549	n1860
n1877	p4275	n4760
n15633	p1579	n15638
n8982	p2869	n15631
n19636	p2869	n15631
n9751	p340	n17900
