s	p	o
n2655	p1086	n17370
n10511	p504	n4645
n4645	p500	n4674
n4645	p500	n7150
n5142	p232	n20588
n10511	p232	n20588
n10511	p3666	n15589
n5142	p1816	n20381
n5142	p1816	n12194
n5142	p1816	n1500
n10511	p1816	n5279
n10511	p1816	n20396
n18977	p2161	n3202
n18977	p120	n19800
n3201	p120	n2573
n2573	p620	n3200
n2573	p3549	n130
n130	p3274	n12259
n18977	p3666	n8072
n5493	p2161	n14479
n5493	p1262	n15728
n14181	p94	n20766
n14181	p718	n10511
n5848	p3749	n11572
n15723	p3621	n13576
n18977	p3092	n20292
n5067	p860	n5710
n11102	p860	n20694
n17862	p3654	n4314
n5493	p905	n13553
n11700	p3978	n13560
n18977	p3666	n17862
n18977	p30	n20269
n18977	p3666	n3974
n18977	p3666	n5281
n18977	p3282	n5142
n18977	p3666	n14617
n14617	p668	n6941
n14617	p3713	n11102
n16501	p676	n8177
n18977	p2090	n16501
n18977	p2014	n3362
n815	p3287	n20949
n815	p3287	n18973
n18199	p1051	n18527
n19437	p3731	n13033
n18977	p690	n13417
n2574	p3666	n12869
n131	p3830	n14441
n18977	p951	n6724
n5142	p951	n8184
n10511	p951	n21110
n19437	p3036	n3429
n5142	p1815	n9007
n5142	p1816	n840
n5142	p1218	n9861
n5142	p1619	n17326
n18248	p3274	n6103
n6797	p1127	n5142
n17511	p3269	n5142
n9033	p2121	n17747
n18041	p3600	n11702
n7584	p2861	n8265
n2537	p2861	n8264
n21667	p2193	n8264
n21667	p2193	n8265
n4253	p2193	n8268
n4253	p2193	n8273
n5295	p3363	n9010
n7584	p2090	n9040
n7584	p3666	n18041
n7584	p3666	n17964
n7584	p2121	n17855
n7584	p772	n20213
n21667	p3666	n18041
n21667	p811	n18058
n2537	p828	n18041
n2537	p811	n18058
n4253	p828	n18041
n4253	p811	n18058
n7584	p2014	n19600
n7584	p3666	n5554
n8266	p3666	n18049
n8266	p3666	n18041
n8266	p3666	n11835
n8265	p977	n20117
n8265	p3274	n18173
n9007	p44	n18176
n8267	p3735	n20154
n18216	p3141	n18177
n5142	p1218	n4657
n14522	p3271	n7888
n11991	p2130	n6086
n17561	p951	n19377
n73	p574	n13381
n2299	p574	n8543
n5355	p3051	n3221
n5355	p3693	n12984
n9996	p1987	n5355
n15673	p1987	n4774
n15673	p3462	n8751
n5355	p603	n7610
n5355	p603	n13439
n5355	p603	n1901
n7610	p890	n7279
n49	p2090	n7611
n1643	p3666	n7611
n8513	p626	n9340
n10910	p626	n15065
n7611	p3701	n10675
n7611	p951	n951
n19600	p782	n17862
n3458	p1101	n7447
n3458	p2090	n9040
n8481	p3531	n9014
n20133	p822	n9014
n8481	p940	n8918
n7447	p3274	n9768
n7447	p2130	n6300
n1013	p3272	n17344
n11710	p2130	n4901
n7447	p3735	n20157
n7888	p2132	n16668
n7888	p2132	n15004
n5142	p1816	n839
n5142	p1218	n11916
n5142	p3769	n18850
n17561	p951	n19176
n17561	p951	n9014
n9033	p2121	n7817
n19190	p3602	n17862
n19190	p3602	n18041
n18041	p677	n20390
n9031	p3269	n3410
n9031	p2090	n19494
n5295	p4051	n8918
n14450	p908	n3448
n3458	p3666	n9020
n3458	p3666	n19183
n3458	p3666	n18041
n3458	p3666	n11835
n21079	p2090	n9040
n21079	p3666	n9020
n21079	p3666	n18041
n19337	p2090	n9040
n19337	p3749	n19578
n10541	p2090	n9040
n14497	p2090	n9040
n10396	p3666	n9040
n10396	p2090	n19183
n10396	p3666	n18041
n10396	p2014	n19600
n2774	p3666	n18041
n2774	p828	n17862
n20406	p3666	n18041
n20406	p2014	n19600
n19337	p2135	n2565
n2567	p2090	n3474
n2567	p2090	n12229
n3475	p3666	n19192
n3475	p2090	n17851
n1918	p899	n7380
n7380	p3666	n12869
n16149	p3666	n17996
n18850	p933	n5238
n9031	p2014	n15006
n17545	p3499	n3350
n14444	p2014	n20523
n17229	p44	n14768
n17229	p72	n13640
n17229	p2090	n9040
n17229	p3666	n19183
n17229	p3666	n15075
n17229	p2014	n19600
n17229	p3666	n5767
n17229	p3666	n15260
n12762	p899	n7380
n5961	p3666	n12869
n5142	p951	n21109
n4901	p3271	n7888
n7610	p1983	n2647
n7274	p3252	n9768
n17561	p656	n73
n17561	p656	n2299
n18041	p3600	n1866
n15673	p3602	n7750
n7611	p1967	n49
n7611	p3056	n2296
n8626	p2014	n19600
n10976	p2090	n11835
n7611	p2130	n17344
n7611	p782	n17862
n7611	p3274	n4901
n3458	p50	n7274
n3458	p1441	n8513
n3458	p2014	n19600
n7447	p3274	n9798
n9798	p3702	n12700
n1019	p3272	n6086
n7610	p3735	n20157
n18977	p2135	n3201
n3201	p3549	n130
n18977	p3666	n2100
n18977	p3666	n19183
n18977	p3666	n5736
n18977	p3666	n18041
n18977	p3531	n19536
n18977	p2090	n9040
n18977	p3531	n20390
n18977	p2014	n19600
n18977	p1873	n2573
n2573	p977	n4052
n2573	p977	n8733
n17500	p492	n5142
